HIP,RAICRS,DEICRS,Vmag
7588,24.42813204,-57.23666007,0.45
11767,37.94614689,89.26413805,1.97
15863,51.08061889,49.86124281,1.79
21421,68.98000195,16.50976164,0.87
24436,78.63446353,-8.20163919,0.18
24608,79.17206517,45.99902927,0.08
25336,81.28278416,6.34973451,1.64
25428,81.57290804,28.60787346,1.65
26311,84.05338572,-1.20191725,1.69
26727,85.18968672,-1.94257841,1.74
27989,88.79287161,7.40703634,0.45
28360,89.88237261,44.94743492,1.9
30324,95.6749475,-17.95591658,1.98
30438,95.98787763,-52.69571799,-0.62
31681,99.42792641,16.39941482,1.93
32349,101.28854105,-16.71314306,-1.44
33579,104.65644451,-28.97208931,1.5
34444,107.09785853,-26.39320776,1.83
36850,113.65001898,31.88863645,1.58
37279,114.82724194,5.22750767,0.4
37826,116.33068263,28.02631031,1.16
39953,122.38314727,-47.33661177,1.75
41037,125.62860299,-59.50953829,1.86
42913,131.17582214,-54.70856797,1.93
45238,138.30100329,-69.71747245,1.67
46390,141.8968826,-8.65868335,1.99
49669,152.09358075,11.96719513,1.36
54061,165.93265365,61.75111888,1.81
60718,186.64975585,-63.09905586,0.77
61084,187.79137202,-57.11256922,1.59
62434,191.93049537,-59.68873246,1.25
62956,193.5068041,55.95984301,1.76
65474,201.2983523,-11.16124491,0.98
67301,206.8856088,49.31330288,1.85
68702,210.95601898,-60.3729784,0.61
69673,213.91811403,19.18726997,-0.05
71681,219.91412833,-60.83947139,1.35
71683,219.92041034,-60.83514707,-0.01
80763,247.35194804,-26.43194608,1.06
82273,252.16610742,-69.02763503,1.91
85927,263.40219373,-37.10374835,1.62
86228,264.32969072,-42.99782155,1.86
90185,276.04310967,-34.3843146,1.79
91262,279.23410832,38.78299311,0.03
97649,297.6945086,8.86738491,0.76
100751,306.41187347,-56.73488071,1.94
102098,310.3579727,45.28033423,1.25
109268,332.05781838,-46.96061593,1.73
113368,344.41177323,-29.62183701,1.17
