RAmdeg,DEmdeg,BTmag,VTmag,HIP
46.15860967,1.86360349,7.379,6.152,14315
43.8815083,2.01827807,6.542,6.577,13629
43.4092613,1.96931841,7.898,6.844,13482
43.78403255,3.48687413,7.275,6.934,13593
45.56988422,4.08973824,4.687,2.716,14135
45.5938258,4.35289046,5.487,5.591,14143
48.10985576,6.66088121,6.849,5.68,14915
44.26905794,4.50102898,8.318,6.363,13756
41.33710853,4.71163062,6.411,6.07,12862
45.46792217,5.33615059,7.567,6.359,14104
45.96172768,6.1333023,7.588,6.99,14258
45.86735478,6.22668559,7.138,6.762,14228
44.0573734,8.38156569,6.521,6.017,13679
,,4.567,4.681,13954
49.28752153,6.7998905,7.263,6.987,15279
51.20332798,9.02887505,4.721,3.705,15900
53.14978918,9.37343763,5.669,5.745,16511
,,3.647,3.715,16083
53.0497525,11.54241597,6.831,6.788,16478
47.16163997,8.47106802,7.641,6.392,14607
47.66164142,11.87262786,5.887,5.959,14764
52.60195434,11.33643928,5.084,5.118,16322
52.15141235,11.39052848,7.989,6.854,16193
51.82781819,12.73528556,6.264,6.287,16095
51.04221118,12.62959534,7.594,6.18,15850
38.96863357,5.59324309,5.96,4.968,12093
40.06538317,6.11194609,6.727,6.291,12447
,,7.063,5.928,12114
38.76722546,7.47100211,7.507,6.28,12022
39.50313161,7.69527928,6.898,6.436,12272
39.1461183,7.73001869,7.147,5.928,12148
43.44259141,9.33581799,8.506,6.816,13495
41.23559196,10.11414303,4.635,4.305,12828
40.50038629,10.54481038,8.142,6.651,12599
37.03975201,8.46007064,4.223,4.261,11484
37.39692901,9.0063407,7.316,6.981,11602
37.39732469,9.56562497,7.453,6.228,11603
36.84745332,10.19832413,6.98,6.504,11427
36.69019644,10.56529834,6.999,6.72,11390
36.20440239,10.61056223,5.344,5.461,11249
40.62056614,10.74172195,6.379,6.318,12647
39.76439016,10.63701826,8.081,6.792,12354
41.23991955,12.44576007,5.444,5.205,12832
38.60809313,11.60481677,6.994,6.987,11971
39.15798587,12.44763903,6.237,5.7,12153
45.18392211,10.87038896,8.067,6.128,14036
47.84132927,13.04784659,7.444,6.227,14821
46.59869626,13.18725439,7.033,5.757,14439
41.13738878,15.31186119,5.747,5.772,12803
42.87327474,15.08206937,5.388,5.499,13327
41.99756171,15.50802341,8.459,6.818,13069
46.16934537,15.85601912,8.191,6.536,14318
43.29872509,16.4834594,6.828,6.354,13448
45.1312824,18.00497836,6.828,6.804,14021
44.10896802,18.02313394,6.114,5.635,13702
43.95207634,18.33163734,7.416,5.951,13654
57.06777385,11.14329982,4.91,5.055,17771
57.81612802,13.04607481,6.211,6.281,18033
56.60938789,13.50910815,6.96,6.898,17617
59.83211281,13.97504795,8.319,6.911,18634
52.71824103,12.93667724,5.551,4.246,16369
54.82105212,13.89149482,7.82,6.771,17049
54.44929596,15.43055644,6.62,6.421,16924
58.61681203,16.61605054,7.728,6.905,18267
58.29186121,17.32708506,6.363,5.995,18170
54.85730334,16.5366902,7.409,6.277,17058
61.92493649,15.16279639,6.52,6.112,19261
63.13064898,17.27746105,7.45,6.206,19641
61.16497481,17.51759248,8.085,6.776,19036
60.15369861,17.29666021,6.369,6.311,18717
61.9975666,17.33989117,7.945,6.1,19284
62.67651116,18.42325255,7.088,6.638,19504
65.38445238,18.41758257,7.326,6.848,20350
65.10461882,18.74262727,6.545,6.133,20255
66.23802852,19.04200817,6.419,6.015,20614
67.1541614,19.18043252,4.813,3.635,20889
62.29152531,19.60921632,6.88,5.624,19388
65.59475338,20.82122927,8.529,6.205,20417
65.3818724,21.03987758,7.298,6.836,20349
64.31525576,20.57859111,5.227,4.947,19990
64.85873785,21.14230744,5.398,5.471,20171
64.59668345,21.57928669,5.973,5.662,20087
64.90294288,21.77349081,5.205,5.328,20186
60.2031917,18.19400377,6.246,5.905,18735
60.27908547,20.19915989,8.112,6.874,18762
59.29702443,21.32355137,8.136,6.947,18490
63.21351958,22.41345462,6.35,6.162,19672
61.33441191,22.00890575,6.68,5.971,19076
61.17381933,22.08192654,5.708,4.463,19038
53.53491026,17.83282955,7.279,6.26,16641
52.83800567,17.93817724,8.806,6.954,16414
55.94672255,19.66502949,7.415,6.24,17408
55.57894867,19.70025586,5.649,5.666,17309
51.76342046,18.75654728,6.753,6.558,16077
46.85697427,17.87999078,5.969,6.098,14514
47.08795713,18.79505351,8.345,6.436,14586
48.47868447,18.97333226,8.486,6.664,15048
47.3942681,19.38073383,6.991,6.878,14672
47.9073618,19.7266757,5.658,4.452,14838
48.72540591,21.04444737,4.86,4.867,15110
47.3338833,20.76111992,8.037,6.54,14649
